Date,Transaction_Type,Transaction_Amount,Region,Payment_Method,Fraud_Flag,Likelihood,Impact,Risk_Score,Risk_Level
08-11-2024,Debit,7232.72,Sims PLC,Cash,0,2,3,6,Low
04-11-2024,Refund,3909.81,"Baker, Navarro and Vargas",Cash,0,2,3,6,Low
01-05-2024,Debit,4174.44,Taylor LLC,Cash,1,5,3,15,High
27-03-2024,Debit,9412.56,Rowe-Neal,Cash,0,2,5,10,Medium
31-10-2024,Refund,6528.48,"Le, Williams and Hill",Bank Transfer,0,2,3,6,Low
12-12-2024,Credit,3608.95,"Woodard, Hall and Reyes",Bank Transfer,0,2,3,6,Low
21-11-2024,Debit,4728.53,"Baxter, Foley and Morris",Credit Card,0,2,3,6,Low
05-11-2024,Refund,9709.71,"Martinez, Mcgee and Hardin",Bank Transfer,0,2,5,10,Medium
07-11-2024,Debit,1628.64,Mcmillan Ltd,Credit Card,0,2,2,4,Low
24-04-2024,Debit,2080.01,Cooper-Harris,Credit Card,0,2,2,4,Low
13-05-2024,Refund,6910.07,"Hart, Jones and Simpson",Cash,0,2,3,6,Low
13-08-2024,Credit,871.06,Reyes-Evans,Bank Transfer,0,2,2,4,Low
14-12-2024,Refund,4834.07,Lopez Ltd,Credit Card,0,2,3,6,Low
10-09-2024,Debit,1741.18,Arnold-Joyce,Credit Card,0,2,2,4,Low
29-07-2024,Credit,1571.58,"Gibbs, Glass and Perry",Bank Transfer,0,2,2,4,Low
22-09-2024,Refund,4926.94,Smith-Terry,Cash,0,2,3,6,Low
01-11-2024,Refund,7936.89,"Roberts, Greene and Zuniga",Cash,0,2,3,6,Low
31-03-2024,Credit,9431.12,Lang-Martinez,Cash,0,2,5,10,Medium
16-10-2024,Debit,4942.31,"Thompson, Jones and Logan",Bank Transfer,0,2,3,6,Low
03-09-2024,Refund,2354.84,Manning-Lowe,Cash,0,2,2,4,Low
21-12-2024,Refund,5572.74,"Young, Adams and Williams",Bank Transfer,0,2,3,6,Low
15-08-2024,Refund,9992.62,Fritz Inc,Credit Card,0,2,5,10,Medium
09-11-2024,Debit,3594.28,Calderon Group,Bank Transfer,0,2,3,6,Low
01-05-2024,Refund,2615.47,Reed-Rogers,Cash,0,2,2,4,Low
13-01-2024,Credit,6772.51,Ruiz and Sons,Bank Transfer,0,2,3,6,Low
21-01-2024,Credit,1755.4,Johnson-Black,Bank Transfer,1,5,2,10,Medium
10-05-2024,Refund,8596.02,Graham Group,Cash,0,2,5,10,Medium
20-07-2024,Refund,5039.75,"Baker, Harper and Wagner",Bank Transfer,1,5,3,15,High
07-10-2024,Credit,8070.09,"Chambers, Morris and James",Credit Card,0,2,5,10,Medium
12-03-2024,Credit,3383.97,Martin PLC,Credit Card,0,2,3,6,Low
17-05-2024,Refund,1148.55,Browning Ltd,Credit Card,0,2,2,4,Low
27-12-2024,Credit,2274.64,"Liu, Brown and Smith",Cash,0,2,2,4,Low
15-04-2024,Debit,5624.19,Cole-Mcgee,Credit Card,0,2,3,6,Low
05-11-2024,Debit,4868.79,Rodriguez-Mills,Bank Transfer,0,2,3,6,Low
25-04-2024,Debit,9936.69,Eaton Inc,Cash,0,2,5,10,Medium
16-04-2024,Debit,7851.01,"Beck, Campbell and Hamilton",Cash,0,2,3,6,Low
01-11-2024,Credit,7696.05,Perez-Morton,Cash,0,2,3,6,Low
10-10-2024,Debit,7703.25,Edwards-Lee,Bank Transfer,0,2,3,6,Low
30-01-2024,Refund,5574.65,Thomas-Cain,Bank Transfer,0,2,3,6,Low
17-06-2024,Refund,8964.21,Meyer-Pratt,Cash,1,5,5,25,High
08-01-2024,Debit,8535.55,Gardner-Calderon,Bank Transfer,1,5,5,25,High
03-01-2025,Refund,8738.22,"Owens, Jones and Smith",Bank Transfer,1,5,5,25,High
25-03-2024,Debit,6046.85,Thompson-Nash,Credit Card,0,2,3,6,Low
20-12-2024,Debit,1050.38,Gordon-Combs,Credit Card,0,2,2,4,Low
08-01-2024,Debit,513.72,Warren PLC,Cash,1,5,2,10,Medium
30-03-2024,Refund,9463.21,"Harris, Oneal and Kirby",Credit Card,0,2,5,10,Medium
26-02-2024,Refund,7991.88,Ochoa-Mathis,Credit Card,1,5,3,15,High
04-04-2024,Debit,9626.84,"Richards, Clark and Mendoza",Cash,1,5,5,25,High
21-12-2024,Debit,7560.09,Hansen-Gallegos,Cash,1,5,3,15,High
23-03-2024,Debit,9746.85,"Lang, Cabrera and Wyatt",Credit Card,0,2,5,10,Medium
31-12-2024,Debit,7818.71,Friedman PLC,Cash,0,2,3,6,Low
28-12-2024,Credit,6100.46,Johnson-Lee,Bank Transfer,1,5,3,15,High
25-02-2024,Debit,8585.29,Mcbride PLC,Bank Transfer,0,2,5,10,Medium
03-02-2024,Refund,1027.66,Cardenas Group,Cash,0,2,2,4,Low
16-10-2024,Debit,5629.1,Rangel-Williams,Credit Card,0,2,3,6,Low
12-08-2024,Credit,5077.98,Martinez-Gonzales,Bank Transfer,1,5,3,15,High
29-08-2024,Refund,1678.79,Lewis-Turner,Bank Transfer,0,2,2,4,Low
12-04-2024,Credit,1189.41,"Carter, Wade and Haas",Cash,0,2,2,4,Low
15-07-2024,Debit,2061.81,Valenzuela PLC,Credit Card,0,2,2,4,Low
26-07-2024,Refund,3622.77,"Davis, Campbell and Kirby",Bank Transfer,0,2,3,6,Low
19-06-2024,Debit,7286.21,"Mclaughlin, Brewer and Middleton",Cash,1,5,3,15,High
21-02-2024,Refund,7084.55,"Leonard, Vasquez and Booth",Credit Card,0,2,3,6,Low
16-11-2024,Refund,7622.03,"Brown, Garcia and Lewis",Bank Transfer,0,2,3,6,Low
22-01-2024,Refund,4988.93,Copeland-Cannon,Bank Transfer,1,5,3,15,High
23-11-2024,Credit,8706.22,Miller-Forbes,Cash,0,2,5,10,Medium
19-08-2024,Debit,1551.41,King Group,Cash,0,2,2,4,Low
01-11-2024,Credit,3643.73,Riggs Inc,Bank Transfer,0,2,3,6,Low
05-11-2024,Credit,8193.42,Martinez-Jackson,Cash,0,2,5,10,Medium
17-11-2024,Debit,1238.6,Lopez-Ingram,Cash,0,2,2,4,Low
04-12-2024,Debit,2026.88,"Montoya, Peterson and Gonzales",Bank Transfer,0,2,2,4,Low
07-06-2024,Debit,9696.67,Rodriguez LLC,Cash,0,2,5,10,Medium
07-06-2024,Refund,7694.5,Morrison and Sons,Bank Transfer,1,5,3,15,High
15-11-2024,Credit,75.81,Mcgee-Smith,Credit Card,1,5,2,10,Medium
23-08-2024,Credit,8349.79,"Hawkins, Riley and Warren",Bank Transfer,0,2,5,10,Medium
23-02-2024,Credit,4741.9,Bryan and Sons,Credit Card,0,2,3,6,Low
16-05-2024,Credit,2874.72,"Christian, Vasquez and Walton",Cash,0,2,2,4,Low
15-04-2024,Credit,1720.91,Pearson PLC,Cash,0,2,2,4,Low
28-07-2024,Refund,2667.5,Mitchell Group,Bank Transfer,0,2,2,4,Low
15-10-2024,Debit,7154.85,Gregory-Fleming,Credit Card,0,2,3,6,Low
03-11-2024,Refund,4155.94,"Davidson, Sanders and Goodman",Bank Transfer,1,5,3,15,High
03-12-2024,Refund,6298.11,"Dominguez, Gomez and Calhoun",Credit Card,0,2,3,6,Low
01-01-2025,Refund,2462.06,White-Russell,Credit Card,0,2,2,4,Low
06-11-2024,Debit,7534.53,"Acosta, Reese and Martinez",Cash,0,2,3,6,Low
10-06-2024,Debit,5301.21,Heath-Johnson,Bank Transfer,0,2,3,6,Low
07-11-2024,Credit,7874.29,Gonzalez-Miller,Cash,0,2,3,6,Low
30-08-2024,Refund,1388.56,Anderson Ltd,Cash,0,2,2,4,Low
06-09-2024,Credit,4293.94,Marsh-Patrick,Bank Transfer,0,2,3,6,Low
30-01-2024,Debit,9181.02,Edwards PLC,Credit Card,0,2,5,10,Medium
07-09-2024,Debit,8981.67,"Adams, Henderson and Jensen",Credit Card,0,2,5,10,Medium
21-02-2024,Debit,9518.89,Lewis-Baker,Bank Transfer,0,2,5,10,Medium
28-06-2024,Debit,5166.39,Garcia-Bailey,Bank Transfer,0,2,3,6,Low
23-08-2024,Refund,6825.16,Lane-Reeves,Credit Card,0,2,3,6,Low
21-09-2024,Credit,9437.97,Lopez-Pollard,Cash,0,2,5,10,Medium
21-05-2024,Debit,4431.36,Kennedy Inc,Cash,0,2,3,6,Low
03-04-2024,Credit,7703.82,Turner-Smith,Cash,0,2,3,6,Low
11-06-2024,Debit,7179.08,Myers-Benjamin,Cash,0,2,3,6,Low
13-01-2024,Credit,5178.31,Long Inc,Bank Transfer,0,2,3,6,Low
17-02-2024,Credit,705.12,Sweeney and Sons,Bank Transfer,0,2,2,4,Low
19-07-2024,Debit,3389.65,Johnston-Sims,Credit Card,0,2,3,6,Low
12-04-2024,Debit,4022.49,Hartman-Frey,Bank Transfer,0,2,3,6,Low
14-09-2024,Credit,7726,"Miller, Combs and Smith",Credit Card,0,2,3,6,Low
30-05-2024,Refund,4346.38,Stewart-Morse,Credit Card,0,2,3,6,Low
05-09-2024,Debit,3938.73,"Miller, Reed and Riggs",Bank Transfer,0,2,3,6,Low
31-07-2024,Debit,380.57,"Parsons, Davis and Jordan",Cash,0,2,2,4,Low
08-11-2024,Refund,9225.96,"Moore, Greer and Krueger",Cash,1,5,5,25,High
27-07-2024,Refund,1518.01,"Austin, Nelson and Keith",Credit Card,0,2,2,4,Low
24-09-2024,Debit,5749.83,Grant-Holland,Credit Card,0,2,3,6,Low
06-05-2024,Debit,9777.55,"Crawford, Harding and Gardner",Cash,0,2,5,10,Medium
11-03-2024,Debit,9800.67,Clark-Aguilar,Credit Card,0,2,5,10,Medium
09-08-2024,Debit,7992.72,Miller-Kerr,Cash,0,2,3,6,Low
07-08-2024,Credit,8759.38,"Stephens, Sullivan and Martinez",Bank Transfer,0,2,5,10,Medium
10-04-2024,Credit,9726.88,Anthony-Hall,Cash,0,2,5,10,Medium
04-02-2024,Credit,4198.86,Maynard Ltd,Credit Card,1,5,3,15,High
18-04-2024,Debit,8858.97,"Bullock, Peterson and Garcia",Credit Card,0,2,5,10,Medium
30-11-2024,Credit,7010.9,Barrett Inc,Credit Card,0,2,3,6,Low
30-04-2024,Debit,8736.73,Gonzalez-Garcia,Bank Transfer,0,2,5,10,Medium
